// SET VAR START END TABLE
SET_VAR_START_END_TABLE(0, 26'b00000000000000000000000000);
SET_VAR_START_END_TABLE(1, 26'b00000000000000000000000100);
SET_VAR_START_END_TABLE(2, 26'b00000000001000000000001000);
SET_VAR_START_END_TABLE(3, 26'b00000000010000000000001100);
SET_VAR_START_END_TABLE(4, 26'b00000000011000000000010000);
SET_VAR_START_END_TABLE(5, 26'b00000000100000000000010100);
SET_VAR_START_END_TABLE(6, 26'b00000000101000000000011000);
SET_VAR_START_END_TABLE(7, 26'b00000000110000000000011100);
SET_VAR_START_END_TABLE(8, 26'b00000000111000000000100000);
SET_VAR_START_END_TABLE(9, 26'b00000001000000000000100100);
SET_VAR_START_END_TABLE(10, 26'b00000001001000000000101000);
SET_VAR_START_END_TABLE(11, 26'b00000001010000000000101100);
SET_VAR_START_END_TABLE(12, 26'b00000001011000000000110000);

// SET CLAUSE DATABASE
SET_CLAUSE_DATABASE(0, 55'b0000000000000000000000000000000000000000000000000000000);
SET_CLAUSE_DATABASE(1, 55'b1110000011000000001000000010000000011000000000000000000);
SET_CLAUSE_DATABASE(2, 55'b1110000011000000100000000101000000110000000000000000000);
SET_CLAUSE_DATABASE(3, 55'b1110000011000000111000001000000001001000000000000000000);
SET_CLAUSE_DATABASE(4, 55'b1110000011000001010000001011000001100000000000000000000);
SET_CLAUSE_DATABASE(5, 55'b1100011111000000001000000100000000000000000000000000000);
SET_CLAUSE_DATABASE(6, 55'b1100011111000000001000000111000000000000000000000000000);
SET_CLAUSE_DATABASE(7, 55'b1100011111000000001000001010000000000000000000000000000);
SET_CLAUSE_DATABASE(8, 55'b1100011111000000100000000111000000000000000000000000000);
SET_CLAUSE_DATABASE(9, 55'b1100011111000000100000001010000000000000000000000000000);
SET_CLAUSE_DATABASE(10, 55'b1100011111000000111000001010000000000000000000000000000);
SET_CLAUSE_DATABASE(11, 55'b1100011111000000010000000101000000000000000000000000000);
SET_CLAUSE_DATABASE(12, 55'b1100011111000000010000001000000000000000000000000000000);
SET_CLAUSE_DATABASE(13, 55'b1100011111000000010000001011000000000000000000000000000);
SET_CLAUSE_DATABASE(14, 55'b1100011111000000101000001000000000000000000000000000000);
SET_CLAUSE_DATABASE(15, 55'b1100011111000000101000001011000000000000000000000000000);
SET_CLAUSE_DATABASE(16, 55'b1100011111000001000000001011000000000000000000000000000);
SET_CLAUSE_DATABASE(17, 55'b1100011111000000011000000110000000000000000000000000000);
SET_CLAUSE_DATABASE(18, 55'b1100011111000000011000001001000000000000000000000000000);
SET_CLAUSE_DATABASE(19, 55'b1100011111000000011000001100000000000000000000000000000);
SET_CLAUSE_DATABASE(20, 55'b1100011111000000110000001001000000000000000000000000000);
SET_CLAUSE_DATABASE(21, 55'b1100011111000000110000001100000000000000000000000000000);
SET_CLAUSE_DATABASE(22, 55'b1100011111000001001000001100000000000000000000000000000);

// SET CLAUSE TABLE
SET_CLAUSE_TABLE(0, 10'b0000000001);
SET_CLAUSE_TABLE(1, 10'b0000000101);
SET_CLAUSE_TABLE(2, 10'b0000000110);
SET_CLAUSE_TABLE(3, 10'b0000000111);
SET_CLAUSE_TABLE(4, 10'b0000000001);
SET_CLAUSE_TABLE(5, 10'b0000001011);
SET_CLAUSE_TABLE(6, 10'b0000001100);
SET_CLAUSE_TABLE(7, 10'b0000001101);
SET_CLAUSE_TABLE(8, 10'b0000000001);
SET_CLAUSE_TABLE(9, 10'b0000010001);
SET_CLAUSE_TABLE(10, 10'b0000010010);
SET_CLAUSE_TABLE(11, 10'b0000010011);
SET_CLAUSE_TABLE(12, 10'b0000000010);
SET_CLAUSE_TABLE(13, 10'b0000000101);
SET_CLAUSE_TABLE(14, 10'b0000001000);
SET_CLAUSE_TABLE(15, 10'b0000001001);
SET_CLAUSE_TABLE(16, 10'b0000000010);
SET_CLAUSE_TABLE(17, 10'b0000001011);
SET_CLAUSE_TABLE(18, 10'b0000001110);
SET_CLAUSE_TABLE(19, 10'b0000001111);
SET_CLAUSE_TABLE(20, 10'b0000000010);
SET_CLAUSE_TABLE(21, 10'b0000010001);
SET_CLAUSE_TABLE(22, 10'b0000010100);
SET_CLAUSE_TABLE(23, 10'b0000010101);
SET_CLAUSE_TABLE(24, 10'b0000000011);
SET_CLAUSE_TABLE(25, 10'b0000000110);
SET_CLAUSE_TABLE(26, 10'b0000001000);
SET_CLAUSE_TABLE(27, 10'b0000001010);
SET_CLAUSE_TABLE(28, 10'b0000000011);
SET_CLAUSE_TABLE(29, 10'b0000001100);
SET_CLAUSE_TABLE(30, 10'b0000001110);
SET_CLAUSE_TABLE(31, 10'b0000010000);
SET_CLAUSE_TABLE(32, 10'b0000000011);
SET_CLAUSE_TABLE(33, 10'b0000010010);
SET_CLAUSE_TABLE(34, 10'b0000010100);
SET_CLAUSE_TABLE(35, 10'b0000010110);
SET_CLAUSE_TABLE(36, 10'b0000000100);
SET_CLAUSE_TABLE(37, 10'b0000000111);
SET_CLAUSE_TABLE(38, 10'b0000001001);
